date,product_id,product_name,category,units_sold,unit_price,revenue
2023-01-02,P001,Wireless Earbuds Pro,Electronics,10,29.99,299.9
2023-01-02,P002,Running Shoes X200,Footwear,5,59.99,299.95
2023-01-02,P003,Organic Green Tea (50 bags),Grocery,20,8.99,179.8
2023-01-02,P004,Yoga Mat Premium,Sports,3,24.99,74.97
2023-01-02,P005,USB-C Hub 7-in-1,Electronics,6,34.99,209.94
2023-01-02,P006,Protein Powder Vanilla 1kg,Health,13,39.99,519.87
2023-01-02,P007,Smart Water Bottle,Sports,7,19.99,139.93
2023-01-02,P008,Coffee Beans Premium 250g,Grocery,17,12.99,220.83
2023-01-02,P009,Resistance Band Set,Sports,7,14.99,104.93
2023-01-02,P010,Face Moisturiser SPF50,Beauty,6,18.99,113.94
2023-01-03,P001,Wireless Earbuds Pro,Electronics,7,29.99,209.93
2023-01-03,P002,Running Shoes X200,Footwear,5,59.99,299.95
2023-01-03,P003,Organic Green Tea (50 bags),Grocery,23,8.99,206.77
2023-01-03,P004,Yoga Mat Premium,Sports,3,24.99,74.97
2023-01-03,P005,USB-C Hub 7-in-1,Electronics,9,34.99,314.91
2023-01-03,P006,Protein Powder Vanilla 1kg,Health,7,39.99,279.93
2023-01-03,P007,Smart Water Bottle,Sports,7,19.99,139.93
2023-01-03,P008,Coffee Beans Premium 250g,Grocery,21,12.99,272.79
2023-01-03,P009,Resistance Band Set,Sports,7,14.99,104.93
2023-01-03,P010,Face Moisturiser SPF50,Beauty,17,18.99,322.83
2023-01-04,P001,Wireless Earbuds Pro,Electronics,13,29.99,389.87
2023-01-04,P002,Running Shoes X200,Footwear,2,59.99,119.98
2023-01-04,P003,Organic Green Tea (50 bags),Grocery,16,8.99,143.84
2023-01-04,P004,Yoga Mat Premium,Sports,8,24.99,199.92
2023-01-04,P005,USB-C Hub 7-in-1,Electronics,6,34.99,209.94
2023-01-04,P006,Protein Powder Vanilla 1kg,Health,9,39.99,359.91
2023-01-04,P007,Smart Water Bottle,Sports,11,19.99,219.89
2023-01-04,P008,Coffee Beans Premium 250g,Grocery,29,12.99,376.71
2023-01-04,P009,Resistance Band Set,Sports,4,14.99,59.96
2023-01-04,P010,Face Moisturiser SPF50,Beauty,11,18.99,208.89
2023-01-05,P001,Wireless Earbuds Pro,Electronics,10,29.99,299.9
2023-01-05,P002,Running Shoes X200,Footwear,9,59.99,539.91
2023-01-05,P003,Organic Green Tea (50 bags),Grocery,18,8.99,161.82
2023-01-05,P004,Yoga Mat Premium,Sports,5,24.99,124.95
2023-01-05,P005,USB-C Hub 7-in-1,Electronics,4,34.99,139.96
2023-01-05,P006,Protein Powder Vanilla 1kg,Health,12,39.99,479.88
2023-01-05,P007,Smart Water Bottle,Sports,10,19.99,199.9
2023-01-05,P008,Coffee Beans Premium 250g,Grocery,22,12.99,285.78
2023-01-05,P009,Resistance Band Set,Sports,12,14.99,179.88
2023-01-05,P010,Face Moisturiser SPF50,Beauty,13,18.99,246.87
2023-01-06,P001,Wireless Earbuds Pro,Electronics,13,29.99,389.87
2023-01-06,P002,Running Shoes X200,Footwear,8,59.99,479.92
2023-01-06,P003,Organic Green Tea (50 bags),Grocery,20,8.99,179.8
2023-01-06,P004,Yoga Mat Premium,Sports,10,24.99,249.9
2023-01-06,P005,USB-C Hub 7-in-1,Electronics,9,34.99,314.91
2023-01-06,P006,Protein Powder Vanilla 1kg,Health,12,39.99,479.88
2023-01-06,P007,Smart Water Bottle,Sports,3,19.99,59.97
2023-01-06,P008,Coffee Beans Premium 250g,Grocery,29,12.99,376.71
2023-01-06,P009,Resistance Band Set,Sports,6,14.99,89.94
2023-01-06,P010,Face Moisturiser SPF50,Beauty,11,18.99,208.89
2023-01-07,P001,Wireless Earbuds Pro,Electronics,14,29.99,419.86
2023-01-07,P002,Running Shoes X200,Footwear,7,59.99,419.93
2023-01-07,P003,Organic Green Tea (50 bags),Grocery,29,8.99,260.71
2023-01-07,P004,Yoga Mat Premium,Sports,5,24.99,124.95
2023-01-07,P005,USB-C Hub 7-in-1,Electronics,13,34.99,454.87
2023-01-07,P006,Protein Powder Vanilla 1kg,Health,17,39.99,679.83
2023-01-07,P007,Smart Water Bottle,Sports,5,19.99,99.95
2023-01-07,P008,Coffee Beans Premium 250g,Grocery,35,12.99,454.65
2023-01-07,P009,Resistance Band Set,Sports,6,14.99,89.94
2023-01-07,P010,Face Moisturiser SPF50,Beauty,14,18.99,265.86
2023-01-09,P001,Wireless Earbuds Pro,Electronics,10,29.99,299.9
2023-01-09,P002,Running Shoes X200,Footwear,2,59.99,119.98
2023-01-09,P003,Organic Green Tea (50 bags),Grocery,21,8.99,188.79
2023-01-09,P004,Yoga Mat Premium,Sports,8,24.99,199.92
2023-01-09,P005,USB-C Hub 7-in-1,Electronics,2,34.99,69.98
2023-01-09,P006,Protein Powder Vanilla 1kg,Health,14,39.99,559.86
2023-01-09,P007,Smart Water Bottle,Sports,5,19.99,99.95
2023-01-09,P008,Coffee Beans Premium 250g,Grocery,27,12.99,350.73
2023-01-09,P009,Resistance Band Set,Sports,16,14.99,239.84
2023-01-09,P010,Face Moisturiser SPF50,Beauty,11,18.99,208.89
2023-01-10,P001,Wireless Earbuds Pro,Electronics,6,29.99,179.94
2023-01-10,P002,Running Shoes X200,Footwear,11,59.99,659.89
2023-01-10,P003,Organic Green Tea (50 bags),Grocery,20,8.99,179.8
2023-01-10,P004,Yoga Mat Premium,Sports,5,24.99,124.95
2023-01-10,P005,USB-C Hub 7-in-1,Electronics,5,34.99,174.95
2023-01-10,P006,Protein Powder Vanilla 1kg,Health,6,39.99,239.94
2023-01-10,P007,Smart Water Bottle,Sports,11,19.99,219.89
2023-01-10,P008,Coffee Beans Premium 250g,Grocery,32,12.99,415.68
2023-01-10,P009,Resistance Band Set,Sports,4,14.99,59.96
2023-01-10,P010,Face Moisturiser SPF50,Beauty,7,18.99,132.93
2023-01-11,P001,Wireless Earbuds Pro,Electronics,10,29.99,299.9
2023-01-11,P002,Running Shoes X200,Footwear,10,59.99,599.9
2023-01-11,P003,Organic Green Tea (50 bags),Grocery,21,8.99,188.79
2023-01-11,P004,Yoga Mat Premium,Sports,4,24.99,99.96
2023-01-11,P005,USB-C Hub 7-in-1,Electronics,6,34.99,209.94
2023-01-11,P006,Protein Powder Vanilla 1kg,Health,14,39.99,559.86
2023-01-11,P007,Smart Water Bottle,Sports,12,19.99,239.88
2023-01-11,P008,Coffee Beans Premium 250g,Grocery,18,12.99,233.82
2023-01-11,P009,Resistance Band Set,Sports,16,14.99,239.84
2023-01-11,P010,Face Moisturiser SPF50,Beauty,11,18.99,208.89
2023-01-12,P001,Wireless Earbuds Pro,Electronics,15,29.99,449.85
2023-01-12,P002,Running Shoes X200,Footwear,4,59.99,239.96
2023-01-12,P003,Organic Green Tea (50 bags),Grocery,16,8.99,143.84
2023-01-12,P004,Yoga Mat Premium,Sports,1,24.99,24.99
2023-01-12,P005,USB-C Hub 7-in-1,Electronics,13,34.99,454.87
2023-01-12,P006,Protein Powder Vanilla 1kg,Health,9,39.99,359.91
2023-01-12,P007,Smart Water Bottle,Sports,6,19.99,119.94
2023-01-12,P008,Coffee Beans Premium 250g,Grocery,18,12.99,233.82
2023-01-12,P009,Resistance Band Set,Sports,8,14.99,119.92
2023-01-12,P010,Face Moisturiser SPF50,Beauty,3,18.99,56.97
2023-01-13,P001,Wireless Earbuds Pro,Electronics,5,29.99,149.95
2023-01-13,P002,Running Shoes X200,Footwear,6,59.99,359.94
2023-01-13,P003,Organic Green Tea (50 bags),Grocery,11,8.99,98.89
